epoch_ms,mono_ms,fps,cpu_pct,vmrss_kb,vmsize_kb,threads,capture_dt_avg_ms,capture_dt_max_ms,frame_proc_avg_ms,frame_proc_max_ms,preproc_avg_ms,preproc_max_ms,arrival_to_preproc_end_avg_ms,arrival_to_preproc_end_max_ms,patterns_found_per_s,frames_total
1776151153873,3371279,0.620938,57.6868,102768,1392824,18,0,0,0,0,0,0,0,0,0,1
1776151155231,3372638,0,96.4478,124568,1469500,18,0,0,1339.39,1339.39,30.432,30.432,49.584,49.584,0,1
1776151156278,3373684,3.82284,117.113,124832,1469500,18,539.595,1397.65,215.446,237.173,27.8257,34.567,37.6923,44.298,0,5
1776151157515,3374922,3.23114,92.6785,124832,1469500,18,284.488,359.023,260.388,331.548,25.9153,29.031,36.8475,43.399,0,9
1776151158788,3376195,3.14312,87.217,124832,1469500,18,327.829,385.141,269.388,330.68,26.1055,30.367,36.1487,40.443,0,13
1776151160041,3377448,3.19223,90.3634,124832,1469500,18,309.848,395.221,262.678,347.128,22.4093,22.972,32.1568,32.697,0,17
1776151161131,3378537,2.75303,79.2354,124832,1469500,18,373.867,388.054,315.142,340.908,30.6067,34.595,40.3337,44.405,0,20
1776151162278,3379685,2.61464,68.6029,124832,1469500,18,357.189,372.072,334.273,354.016,23.3097,28.133,33.4723,37.927,0,23
1776151163472,3380879,3.35115,81.8384,124832,1469500,18,313.306,404.14,249.786,334.355,25.3807,27.953,35.3215,38.036,0,27
1776151164660,3382067,2.52419,85.6727,124832,1469500,18,384.573,406.414,346.384,357.623,25.304,26.553,35.4817,36.301,0,30
1776151165836,3383243,2.55189,64.4975,124832,1469500,18,387.702,396.918,341.599,346.931,29.0353,30.396,38.9107,40.076,0,33
1776151167067,3384473,2.43748,65.5949,124832,1469500,18,394.163,395.022,359.803,391.15,24.6503,29.389,34.4347,39.195,0,36
1776151168299,3385705,2.43502,66.0128,124832,1469500,18,423.445,441.309,360.706,372.214,27.29,36.767,37.256,46.463,0,39
1776151169508,3386914,2.48143,79.5821,124832,1469500,18,406.816,409.23,351.582,358.774,24.2287,26.008,34.476,36.249,0,42
1776151170696,3388103,2.5242,89.8857,124832,1469500,18,387.129,397.021,345.852,368.512,25.8693,30.514,35.9863,40.299,0,45
1776151171870,3389276,2.5565,96.0571,124832,1469500,18,396.573,420.353,341.736,371.645,20.2243,22.718,29.98,32.487,0,48
1776151173089,3390496,2.45977,93.5976,124832,1469500,18,426.065,482.809,357.883,435.526,22.2367,28.654,32.0827,38.652,0,51
1776151174361,3391768,2.35833,112.767,124832,1469500,18,421.493,492.084,374.847,444.023,21.376,23.882,31.7213,34.489,0,54
1776151175469,3392875,2.70961,73.4965,124832,1469500,18,357.74,383.895,320.391,335.352,21.4363,22.829,32.0893,33.777,0,57
1776151176488,3393895,2.94164,89.1094,124832,1469500,18,355.88,387.426,284.566,316.836,23.3377,23.726,33.886,35.518,0,60
1776151177533,3394939,2.87283,86.4093,124832,1469500,18,350.249,400.573,292.066,350.229,22.6373,28.798,35.169,46.273,0,63
1776151178736,3396143,2.49321,83.5289,124832,1469500,18,366.033,412.478,344.968,385.767,19.5753,21.199,30.2363,31.017,0,66
1776151179899,3397306,2.57851,88.3258,124832,1469500,18,402.562,438.027,332.766,348.958,18.8817,19.505,29.645,31.264,0,69
1776151181031,3398437,2.65161,75.101,124832,1469500,18,395.317,414.677,317.916,355.13,20.08,22.808,30.9653,32.507,0,72
1776151182185,3399592,2.59852,74.9658,124832,1469500,18,361.607,377.016,325.279,354.365,18.7647,20.617,30.682,32.154,0,75
1776151183452,3400858,3.1588,90.5296,124832,1469500,18,325.663,410.836,259.382,320.037,19.365,20.881,29.4688,30.649,0,79
1776151184689,3402096,2.42409,69.5649,124832,1469500,18,385.832,395.327,359.912,400.697,19.5593,20.169,29.3437,29.89,0,82
1776151185765,3403171,1.85985,54.2918,124832,1469500,18,423.975,459.916,474.507,624.217,20.9065,23.066,32.5105,36.5,0,84
1776151186861,3404267,4.56212,124.998,124832,1469500,18,311.252,678.248,166.134,282.714,26.6106,34.282,38.3008,52.857,0,89
1776151187919,3405326,5.66874,157.143,124832,1469500,18,186.173,216.687,128.768,140.657,20.1112,24.789,30.2887,37.011,0,95
1776151188983,3406390,5.63707,155.144,124832,1469500,18,172.575,201.247,126.495,138.393,19.4428,21.441,29.8458,31.941,0,101
