epoch_ms,mono_ms,fps,cpu_pct,vmrss_kb,vmsize_kb,threads,capture_dt_avg_ms,capture_dt_max_ms,frame_proc_avg_ms,frame_proc_max_ms,preproc_avg_ms,preproc_max_ms,arrival_to_preproc_end_avg_ms,arrival_to_preproc_end_max_ms,patterns_found_per_s,frames_total
1776031657307,1951717,0.412649,46.2285,102468,1376692,16,0,0,0,0,0,0,0,0,0,1
1776031659561,1953970,0,104.022,141268,1405936,16,0,0,2251.8,2251.8,16,16,34.782,34.782,0,1
1776031660944,1955353,1.44567,155.746,142320,1407448,16,1497.31,2293.26,652.226,662.619,7.3955,8.572,13.2585,15.052,0,3
1776031662307,1956716,1.46785,158.425,142320,1407448,16,681.991,681.993,641.207,642.031,6.2735,6.374,11.2835,11.792,0,5
1776031663671,1958081,1.46527,158.408,142320,1407448,16,681.843,682.166,641.19,641.641,6.244,6.297,10.7225,10.859,0,7
1776031665038,1959447,1.4634,158.457,142320,1407448,16,683.312,683.614,642.352,643.006,5.9775,5.991,10.324,10.389,0,9
1776031666404,1960813,1.46412,158.268,142320,1407448,16,683.062,683.169,642.047,642.508,6.1695,6.23,10.479,10.588,0,11
1776031667768,1962177,1.46709,158.515,142320,1407448,16,683.019,683.167,640.605,642.413,5.979,5.994,10.241,10.307,0,13
1776031669127,1963537,1.47062,158.762,142320,1407448,16,679.784,679.977,639.044,639.192,6.232,6.327,10.528,10.567,0,15
1776031670489,1964898,1.46877,158.905,142320,1407448,16,680.1,680.452,639.846,640.681,6.1885,6.333,10.4375,10.629,0,17
1776031671852,1966262,1.46703,158.844,142320,1407448,16,681.638,682.208,640.65,640.697,6.114,6.154,10.396,10.501,0,19
1776031673212,1967621,1.47143,158.73,142320,1407448,16,680.326,681.877,638.848,639.27,6.433,6.548,10.6215,10.649,0,21
1776031674401,1968810,0.840975,151.537,142320,1407448,16,680.664,680.664,1147.71,1147.71,5.961,5.961,10.201,10.201,0.840975,22
1776031675761,1970170,1.47011,158.628,142320,1407448,16,934.245,1189.14,639.234,639.647,6.079,6.175,10.3235,10.427,0,24
1776031677124,1971533,1.46793,158.428,142320,1407448,16,681.238,681.458,640.253,640.879,6.0915,6.103,10.362,10.377,0,26
1776031678485,1972894,1.46874,158.588,142320,1407448,16,680.818,680.819,639.98,640.261,6.026,6.051,10.295,10.303,0,28
1776031679847,1974256,1.4689,158.641,142320,1407448,16,680.471,681.009,639.853,640.32,6.1045,6.115,10.4035,10.433,0,30
1776031681215,1975624,1.46208,158.191,142320,1407448,16,685.096,688.443,642.976,647.913,6.345,6.453,10.657,10.801,0,32
1776031682576,1976985,1.46967,158.768,142320,1407448,16,679.745,680.044,639.513,639.625,6.0555,6.193,10.3745,10.457,0,34
1776031683937,1978346,1.46923,158.843,142320,1407448,16,680.178,680.808,639.726,640.3,6.2325,6.341,10.5465,10.549,0,36
1776031685297,1979706,1.47075,159.111,142320,1407448,16,680.302,681.549,639.059,639.546,6.191,6.43,10.483,10.833,0,38
1776031686653,1981062,1.47452,159.183,142320,1407448,16,679.616,680.76,637.266,637.839,6.031,6.1,10.416,10.418,0,40
1776031688017,1982426,1.46675,158.594,142320,1407448,16,679.417,680.748,640.806,641.411,6.255,6.36,10.588,10.788,0,42
1776031689379,1983788,1.46819,158.696,142320,1407448,16,681.768,682.531,640.332,640.563,6.1415,6.159,10.438,10.596,0,44
1776031691262,1985671,1.06201,155.089,142320,1407448,16,680.044,681.567,900.591,1163.24,6.2355,6.45,10.4885,10.822,0.531003,46
1776031692622,1987032,1.47021,158.661,142320,1407448,16,942.324,1204.62,639.188,639.445,6.209,6.403,10.5035,10.765,0,48
1776031693982,1988391,1.47089,158.62,142320,1407448,16,680.062,680.17,639.093,639.642,5.938,6.029,10.2405,10.32,0,50
1776031695886,1990295,1.05035,112.015,142320,1407448,16,676.673,679.577,911.324,1189.31,6.103,6.316,10.43,10.748,0,52
1776031697801,1992210,1.04445,144.323,142320,1407448,16,1008.86,1230.44,916.764,1086.47,6.0955,6.13,10.466,10.471,0.522226,54
1776031699227,1993636,1.40234,152.443,142320,1407448,16,921.083,1129.46,671.981,673.465,8.1445,10.182,13.492,15.679,0,56
1776031700637,1995046,1.41899,154.021,142320,1407448,16,706.091,711.584,664.256,667.752,6.652,6.714,12.4025,12.855,0,58
1776031703866,1998276,0.61921,68.1173,142320,1407448,16,770.658,833.366,1575.72,2356.38,6.012,6.071,10.078,10.138,0,60
1776031705297,1999707,1.39785,153.863,142320,1407448,16,1555.44,2395.83,675.764,676.253,7.7935,9.115,12.4885,14.395,0,62
1776031707633,2002042,0.856281,94.411,142320,1407448,16,710.972,716.926,1127.28,1590,6.2475,6.599,11.507,11.883,0,64
1776031708668,2003077,1.93257,142.549,142320,1407448,16,1312.45,1628.46,955.728,955.728,6.174,6.174,10.263,10.263,0,66
1776031710352,2004762,1.18731,148.278,142320,1407448,16,310.07,332.902,534.52,1064.3,6.25433,6.839,11.7213,13.756,0.593657,68
1776031712730,2007139,0.420579,71.0509,142320,1407448,16,1105.17,1105.17,2336.82,2336.82,7.858,7.858,12.165,12.165,0.420579,69
1776031714740,2009149,0.995093,141.054,142320,1407448,16,1606.21,2378.51,964.077,1134.25,7.0395,7.168,13.5135,13.665,0.497546,71
1776031715852,2010261,0.898788,152.351,142320,1407448,16,1173.18,1173.18,1073.69,1073.69,6.357,6.357,10.425,10.425,0.898788,72
1776031717890,2012299,0.490889,85.161,142320,1407448,16,1113.57,1113.57,1997.23,1997.23,6.097,6.097,11.333,11.333,0.490889,73
1776031719288,2013697,1.43017,133.051,142320,1407448,16,1453.74,2038.65,658.149,828.123,7.031,8.072,11.529,12.471,0,75
